V1,V2,V3,sci,common,kingdom,phylum,class,family,genus,header,order
Cluster 13,AAI29587,856,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,African Clawed Frog,Anura
Cluster 14,XP_018104311,853,Xenopus laevis,African Clawed Frog,Metazoa,Chordata,Amphibia,Pipidae,Xenopus,African Clawed Frog,Anura
Cluster 15,XP_020140826,851,Microcebus murinus,Gray Mouse Lemur,Metazoa,Chordata,Mammalia,Cheirogaleidae,Microcebus,Gray Mouse Lemur,Primates
Cluster 15,XP_020140826,851,Microcebus murinus,Gray Mouse Lemur,Metazoa,Chordata,Mammalia,Cheirogaleidae,Microcebus,Gray Mouse Lemur,Primates
Cluster 16,XP_032835032,849,Petromyzon marinus,sea lamprey,Metazoa,Chordata,Hyperoartia,Petromyzontidae,Petromyzon,sea lamprey,Petromyzontiformes
Cluster 17,ENSOMEP00000011111_O,847,Oryzias melastigma,NA,Metazoa,Chordata,Actinopteri,Adrianichthyidae,Oryzias,Oryzias melastigma,Beloniformes
Cluster 18,ENSCJAP00000073088_C,844,NA,NA,NA,NA,NA,NA,NA,ENSCJAP00000073088_C,NA
Cluster 19,ENSCMIP00000022586_C,838,Callorhinchus milii,NA,Metazoa,Chordata,Chondrichthyes,Callorhinchidae,Callorhinchus,Callorhinchus milii,Chimaeriformes
Cluster 20,XP_007889845,836,Callorhinchus milii,NA,Metazoa,Chordata,Chondrichthyes,Callorhinchidae,Callorhinchus,Callorhinchus milii,Chimaeriformes
Cluster 20,XP_007889846,797,Callorhinchus milii,NA,Metazoa,Chordata,Chondrichthyes,Callorhinchidae,Callorhinchus,Callorhinchus milii,Chimaeriformes
Cluster 20,XP_007889845,836,Callorhinchus milii,NA,Metazoa,Chordata,Chondrichthyes,Callorhinchidae,Callorhinchus,Callorhinchus milii,Chimaeriformes
Cluster 20,XP_007889845,836,Callorhinchus milii,NA,Metazoa,Chordata,Chondrichthyes,Callorhinchidae,Callorhinchus,Callorhinchus milii,Chimaeriformes
Cluster 21,XP_026705725,834,Athene cunicularia,Tecolote llanero,Metazoa,Chordata,Aves,Strigidae,Athene,Tecolote llanero,Strigiformes
Cluster 21,XP_026705725,834,Athene cunicularia,Tecolote llanero,Metazoa,Chordata,Aves,Strigidae,Athene,Tecolote llanero,Strigiformes
Cluster 21,XP_026705725,834,Athene cunicularia,Tecolote llanero,Metazoa,Chordata,Aves,Strigidae,Athene,Tecolote llanero,Strigiformes
Cluster 22,XP_023575315,831,Octodon degus,Degu,Metazoa,Chordata,Mammalia,Octodontidae,Octodon,Degu,Rodentia
Cluster 22,XP_023575315,831,Octodon degus,Degu,Metazoa,Chordata,Mammalia,Octodontidae,Octodon,Degu,Rodentia
Cluster 22,ENSODEP00000006043_O,805,Octodon degus,Degu,Metazoa,Chordata,Mammalia,Octodontidae,Octodon,Degu,Rodentia
Cluster 22,XP_023575315,831,Octodon degus,Degu,Metazoa,Chordata,Mammalia,Octodontidae,Octodon,Degu,Rodentia
Cluster 23,ENSSTUP00000068325_S,829,Salmo trutta,brown trout,Metazoa,Chordata,Actinopteri,Salmonidae,Salmo,brown trout,Salmoniformes
Cluster 24,XP_023964517,828,Chrysemys picta bellii,Western Painted Turtle,Metazoa,Chordata,NA,Emydidae,Chrysemys,Western Painted Turtle,Testudines
Cluster 24,XP_023964517,828,Chrysemys picta bellii,Western Painted Turtle,Metazoa,Chordata,NA,Emydidae,Chrysemys,Western Painted Turtle,Testudines
Cluster 24,XP_023964517,828,Chrysemys picta bellii,Western Painted Turtle,Metazoa,Chordata,NA,Emydidae,Chrysemys,Western Painted Turtle,Testudines
Cluster 25,TFK10262,828,Platysternon megacephalum,Big-headed Turtle,Metazoa,Chordata,NA,Platysternidae,Platysternon,Big-headed Turtle,Testudines
Cluster 26,XP_026570054,828,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Elapidae,Pseudonaja,Eastern Brown Snake,Squamata
Cluster 26,XP_026570054,828,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Elapidae,Pseudonaja,Eastern Brown Snake,Squamata
Cluster 26,XP_026570054,828,Pseudonaja textilis,Eastern Brown Snake,Metazoa,Chordata,Lepidosauria,Elapidae,Pseudonaja,Eastern Brown Snake,Squamata
Cluster 27,XP_032082934,828,Thamnophis elegans,Western Terrestrial Garter Snake,Metazoa,Chordata,Lepidosauria,Colubridae,Thamnophis,Western Terrestrial Garter Snake,Squamata
Cluster 27,XP_032082934,828,Thamnophis elegans,Western Terrestrial Garter Snake,Metazoa,Chordata,Lepidosauria,Colubridae,Thamnophis,Western Terrestrial Garter Snake,Squamata
Cluster 27,XP_032082934,828,Thamnophis elegans,Western Terrestrial Garter Snake,Metazoa,Chordata,Lepidosauria,Colubridae,Thamnophis,Western Terrestrial Garter Snake,Squamata
Cluster 28,XP_026530754,828,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Elapidae,Notechis,Mainland Tiger Snake,Squamata
Cluster 28,XP_026530754,828,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Elapidae,Notechis,Mainland Tiger Snake,Squamata
Cluster 28,XP_026530754,828,Notechis scutatus,Mainland Tiger Snake,Metazoa,Chordata,Lepidosauria,Elapidae,Notechis,Mainland Tiger Snake,Squamata
Cluster 29,XP_034290793,828,Pantherophis guttatus,Eastern Corn Snake,Metazoa,Chordata,Lepidosauria,Colubridae,Pantherophis,Eastern Corn Snake,Squamata
Cluster 30,XP_034612285,828,Trachemys scripta elegans,Red-eared Slider,Metazoa,Chordata,NA,Emydidae,Trachemys,Red-eared Slider,Testudines
Cluster 31,XP_007431942,827,Python bivittatus,Burmese Python,Metazoa,Chordata,Lepidosauria,Pythonidae,Python,Burmese Python,Squamata
Cluster 31,XP_007431942,827,Python bivittatus,Burmese Python,Metazoa,Chordata,Lepidosauria,Pythonidae,Python,Burmese Python,Squamata
Cluster 31,XP_007431942,827,Python bivittatus,Burmese Python,Metazoa,Chordata,Lepidosauria,Pythonidae,Python,Burmese Python,Squamata
Cluster 32,PWA19048,827,Gambusia affinis,mosquitofish,Metazoa,Chordata,Actinopteri,Poeciliidae,Gambusia,mosquitofish,Cyprinodontiformes
Cluster 32,ENSGAFP00000012585_G,808,NA,NA,NA,NA,NA,NA,NA,ENSGAFP00000012585_G,NA
Cluster 33,XP_010884777,827,Esox lucius,northern pike,Metazoa,Chordata,Actinopteri,Esocidae,Esox,northern pike,Esociformes
Cluster 34,ENSACUP00000008152_A,827,Athene cunicularia,Tecolote llanero,Metazoa,Chordata,Aves,Strigidae,Athene,Tecolote llanero,Strigiformes
Cluster 35,XP_012494185,826,Propithecus coquereli,Coquerel's Sifaka,Metazoa,Chordata,Mammalia,Indriidae,Propithecus,Coquerel's Sifaka,Primates
Cluster 35,ENSPCOP00000025814_P,805,Propithecus coquereli,Coquerel's Sifaka,Metazoa,Chordata,Mammalia,Indriidae,Propithecus,Coquerel's Sifaka,Primates
Cluster 35,XP_012494185,826,Propithecus coquereli,Coquerel's Sifaka,Metazoa,Chordata,Mammalia,Indriidae,Propithecus,Coquerel's Sifaka,Primates
Cluster 36,ENSCCRP00015092138_C,826,NA,NA,NA,NA,NA,NA,NA,ENSCCRP00015092138_C,NA
Cluster 36,ENSCCRP00010032462_C,826,NA,NA,NA,NA,NA,NA,NA,ENSCCRP00010032462_C,NA
Cluster 37,ENSCCRP00020104239_C,826,NA,NA,NA,NA,NA,NA,NA,ENSCCRP00020104239_C,NA
Cluster 38,XP_005231984,824,Falco peregrinus,Peregrine Falcon,Metazoa,Chordata,Aves,Falconidae,Falco,Peregrine Falcon,Falconiformes
Cluster 38,XP_005231984,824,Falco peregrinus,Peregrine Falcon,Metazoa,Chordata,Aves,Falconidae,Falco,Peregrine Falcon,Falconiformes
Cluster 38,XP_005231984,824,Falco peregrinus,Peregrine Falcon,Metazoa,Chordata,Aves,Falconidae,Falco,Peregrine Falcon,Falconiformes
Cluster 39,XP_009938970,824,Opisthocomus hoazin,Hoatzin,Metazoa,Chordata,Aves,Opisthocomidae,Opisthocomus,Hoatzin,Opisthocomiformes
Cluster 39,XP_009938970,824,Opisthocomus hoazin,Hoatzin,Metazoa,Chordata,Aves,Opisthocomidae,Opisthocomus,Hoatzin,Opisthocomiformes
Cluster 39,XP_009938970,824,Opisthocomus hoazin,Hoatzin,Metazoa,Chordata,Aves,Opisthocomidae,Opisthocomus,Hoatzin,Opisthocomiformes
Cluster 40,ENSSPUP00000009708_S,823,NA,NA,NA,NA,NA,NA,NA,ENSSPUP00000009708_S,NA
Cluster 41,GCB71908,822,Scyliorhinus torazame,cloudy catshark,Metazoa,Chordata,Chondrichthyes,Scyliorhinidae,Scyliorhinus,cloudy catshark,Carcharhiniformes
Cluster 42,ENSORLP00015033711_O,822,NA,NA,NA,NA,NA,NA,NA,ENSORLP00015033711_O,NA
Cluster 43,XP_031584810,821,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,tilapia azul,Cichliformes
Cluster 43,XP_031584810,821,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,tilapia azul,Cichliformes
Cluster 43,XP_031584810,821,Oreochromis aureus,tilapia azul,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,tilapia azul,Cichliformes
Cluster 44,XP_003445853,821,Oreochromis niloticus,Nile mouthbreeder,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,Nile mouthbreeder,Cichliformes
Cluster 44,XP_003445853,821,Oreochromis niloticus,Nile mouthbreeder,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,Nile mouthbreeder,Cichliformes
Cluster 44,ENSONIP00000061341_O,821,Oreochromis niloticus,Nile mouthbreeder,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,Nile mouthbreeder,Cichliformes
Cluster 44,XP_003445853,821,Oreochromis niloticus,Nile mouthbreeder,Metazoa,Chordata,Actinopteri,Cichlidae,Oreochromis,Nile mouthbreeder,Cichliformes
Cluster 45,XP_020642422,821,Pogona vitticeps,Central Bearded Dragon,Metazoa,Chordata,Lepidosauria,Agamidae,Pogona,Central Bearded Dragon,Squamata
Cluster 45,XP_020642422,821,Pogona vitticeps,Central Bearded Dragon,Metazoa,Chordata,Lepidosauria,Agamidae,Pogona,Central Bearded Dragon,Squamata
Cluster 45,ENSPVIP00000025807_P,820,NA,NA,NA,NA,NA,NA,NA,ENSPVIP00000025807_P,NA
Cluster 45,XP_020642422,821,Pogona vitticeps,Central Bearded Dragon,Metazoa,Chordata,Lepidosauria,Agamidae,Pogona,Central Bearded Dragon,Squamata
Cluster 46,XP_031414786,821,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeidae,Clupea,Baltic herring,Clupeiformes
Cluster 46,XP_031414786,821,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeidae,Clupea,Baltic herring,Clupeiformes
Cluster 46,ENSCHAP00000007314_C,821,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeidae,Clupea,Baltic herring,Clupeiformes
Cluster 46,XP_031414786,821,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeidae,Clupea,Baltic herring,Clupeiformes
Cluster 47,XP_028441363,820,Perca flavescens,yellow perch,Metazoa,Chordata,Actinopteri,Percidae,Perca,yellow perch,Perciformes
Cluster 47,XP_028441363,820,Perca flavescens,yellow perch,Metazoa,Chordata,Actinopteri,Percidae,Perca,yellow perch,Perciformes
Cluster 47,XP_028441363,820,Perca flavescens,yellow perch,Metazoa,Chordata,Actinopteri,Percidae,Perca,yellow perch,Perciformes
Cluster 48,XP_033806113,820,Geotrypetes seraphini,NA,Metazoa,Chordata,Amphibia,Dermophiidae,Geotrypetes,Geotrypetes seraphini,Gymnophiona
Cluster 49,XP_023609437,819,Myotis lucifugus,little brown bat,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,little brown bat,Chiroptera
Cluster 49,XP_023609437,819,Myotis lucifugus,little brown bat,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,little brown bat,Chiroptera
Cluster 49,XP_023609437,819,Myotis lucifugus,little brown bat,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,little brown bat,Chiroptera
Cluster 50,XP_014399780,819,Myotis brandtii,Brandt's Myotis,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,Brandt's Myotis,Chiroptera
Cluster 50,XP_014399780,819,Myotis brandtii,Brandt's Myotis,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,Brandt's Myotis,Chiroptera
Cluster 50,XP_014399780,819,Myotis brandtii,Brandt's Myotis,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,Brandt's Myotis,Chiroptera
Cluster 51,XP_006775273,819,Myotis davidii,David's Myotis,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,David's Myotis,Chiroptera
Cluster 51,XP_006775273,819,Myotis davidii,David's Myotis,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,David's Myotis,Chiroptera
Cluster 51,XP_006775273,819,Myotis davidii,David's Myotis,Metazoa,Chordata,Mammalia,Vespertilionidae,Myotis,David's Myotis,Chiroptera
Cluster 52,XP_015226730,819,Cyprinodon variegatus,bolín,Metazoa,Chordata,Actinopteri,Cyprinodontidae,Cyprinodon,bolín,Cyprinodontiformes
Cluster 52,XP_015226730,819,Cyprinodon variegatus,bolín,Metazoa,Chordata,Actinopteri,Cyprinodontidae,Cyprinodon,bolín,Cyprinodontiformes
Cluster 52,ENSCVAP00000007823_C,819,Cyprinodon variegatus,bolín,Metazoa,Chordata,Actinopteri,Cyprinodontidae,Cyprinodon,bolín,Cyprinodontiformes
Cluster 52,XP_015226730,819,Cyprinodon variegatus,bolín,Metazoa,Chordata,Actinopteri,Cyprinodontidae,Cyprinodon,bolín,Cyprinodontiformes
Cluster 53,XP_024150631,819,Oryzias melastigma,NA,Metazoa,Chordata,Actinopteri,Adrianichthyidae,Oryzias,Oryzias melastigma,Beloniformes
Cluster 53,XP_024150631,819,Oryzias melastigma,NA,Metazoa,Chordata,Actinopteri,Adrianichthyidae,Oryzias,Oryzias melastigma,Beloniformes
Cluster 53,XP_024150631,819,Oryzias melastigma,NA,Metazoa,Chordata,Actinopteri,Adrianichthyidae,Oryzias,Oryzias melastigma,Beloniformes
Cluster 54,XP_013888928,819,Austrofundulus limnaeus,NA,Metazoa,Chordata,Actinopteri,Rivulidae,Austrofundulus,Austrofundulus limnaeus,Cyprinodontiformes
Cluster 54,XP_013888928,819,Austrofundulus limnaeus,NA,Metazoa,Chordata,Actinopteri,Rivulidae,Austrofundulus,Austrofundulus limnaeus,Cyprinodontiformes
Cluster 54,XP_013888928,819,Austrofundulus limnaeus,NA,Metazoa,Chordata,Actinopteri,Rivulidae,Austrofundulus,Austrofundulus limnaeus,Cyprinodontiformes
Cluster 55,XP_005169416,818,Danio rerio,zebra danio,Metazoa,Chordata,Actinopteri,Danionidae,Danio,zebra danio,Cypriniformes
Cluster 55,XP_005169416,818,Danio rerio,zebra danio,Metazoa,Chordata,Actinopteri,Danionidae,Danio,zebra danio,Cypriniformes
Cluster 55,ENSDARP00000106752_D,818,Danio rerio,zebra danio,Metazoa,Chordata,Actinopteri,Danionidae,Danio,zebra danio,Cypriniformes
Cluster 56,XP_030232530,818,Gadus morhua,morue de l'Atlantique,Metazoa,Chordata,Actinopteri,Gadidae,Gadus,morue de l'Atlantique,Gadiformes
Cluster 56,XP_030232530,818,Gadus morhua,morue de l'Atlantique,Metazoa,Chordata,Actinopteri,Gadidae,Gadus,morue de l'Atlantique,Gadiformes
Cluster 56,XP_030232530,818,Gadus morhua,morue de l'Atlantique,Metazoa,Chordata,Actinopteri,Gadidae,Gadus,morue de l'Atlantique,Gadiformes
Cluster 57,ENSTRUP00000080132_T,818,Takifugu rubripes,NA,Metazoa,Chordata,Actinopteri,Tetraodontidae,Takifugu,Takifugu rubripes,Tetraodontiformes
Cluster 58,XP_005316051,817,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Ictidomys,Thirteen-lined Ground Squirrel,Rodentia
Cluster 58,XP_005316051,817,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Ictidomys,Thirteen-lined Ground Squirrel,Rodentia
Cluster 58,ENSSTOP00000005914_I,807,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Ictidomys,Thirteen-lined Ground Squirrel,Rodentia
Cluster 58,XP_005316051,817,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Ictidomys,Thirteen-lined Ground Squirrel,Rodentia
Cluster 59,XP_026252505,817,Urocitellus parryii,Arctic Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Urocitellus,Arctic Ground Squirrel,Rodentia
Cluster 59,XP_026252506,780,Urocitellus parryii,Arctic Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Urocitellus,Arctic Ground Squirrel,Rodentia
Cluster 59,XP_026252505,817,Urocitellus parryii,Arctic Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Urocitellus,Arctic Ground Squirrel,Rodentia
Cluster 59,ENSUPAP00010016528_U,807,Urocitellus parryii,Arctic Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Urocitellus,Arctic Ground Squirrel,Rodentia
Cluster 59,XP_026252505,817,Urocitellus parryii,Arctic Ground Squirrel,Metazoa,Chordata,Mammalia,Sciuridae,Urocitellus,Arctic Ground Squirrel,Rodentia
Cluster 60,XP_015343540,817,Marmota marmota marmota,NA,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Marmota marmota marmota,Rodentia
Cluster 60,XP_015343540,817,Marmota marmota marmota,NA,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Marmota marmota marmota,Rodentia
Cluster 60,ENSMMMP00000005538_M,807,Marmota marmota marmota,NA,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Marmota marmota marmota,Rodentia
Cluster 60,XP_015343540,817,Marmota marmota marmota,NA,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Marmota marmota marmota,Rodentia
Cluster 61,XP_027802308,817,Marmota flaviventris,Yellow-bellied Marmot,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Yellow-bellied Marmot,Rodentia
Cluster 61,XP_027802308,817,Marmota flaviventris,Yellow-bellied Marmot,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Yellow-bellied Marmot,Rodentia
Cluster 61,XP_027802308,817,Marmota flaviventris,Yellow-bellied Marmot,Metazoa,Chordata,Mammalia,Sciuridae,Marmota,Yellow-bellied Marmot,Rodentia
Cluster 62,MXQ98806,817,Bos mutus,wild yak,Metazoa,Chordata,Mammalia,Bovidae,Bos,wild yak,Artiodactyla
Cluster 63,KFR15510,817,Opisthocomus hoazin,Hoatzin,Metazoa,Chordata,Aves,Opisthocomidae,Opisthocomus,Hoatzin,Opisthocomiformes
Cluster 64,XP_022063988,817,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Pomacentridae,Acanthochromis,spotty-tail,NA
Cluster 64,XP_022063991,796,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Pomacentridae,Acanthochromis,spotty-tail,NA
Cluster 64,XP_022063988,817,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Pomacentridae,Acanthochromis,spotty-tail,NA
Cluster 64,ENSAPOP00000029514_A,817,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Pomacentridae,Acanthochromis,spotty-tail,NA
Cluster 64,XP_022063988,817,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Pomacentridae,Acanthochromis,spotty-tail,NA
Cluster 65,GCF40292,817,Paroedura picta,NA,Metazoa,Chordata,Lepidosauria,Gekkonidae,Paroedura,Paroedura picta,Squamata
Cluster 66,RXN26547,817,Labeo rohita,NA,Metazoa,Chordata,Actinopteri,Cyprinidae,Labeo,Labeo rohita,Cypriniformes
Cluster 67,XP_029949252,816,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniidae,Salarias,lineated blenny,Blenniiformes
Cluster 67,XP_029949252,816,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniidae,Salarias,lineated blenny,Blenniiformes
Cluster 67,XP_029949252,816,Salarias fasciatus,lineated blenny,Metazoa,Chordata,Actinopteri,Blenniidae,Salarias,lineated blenny,Blenniiformes
Cluster 68,XP_030271236,816,Sparus aurata,NA,Metazoa,Chordata,Actinopteri,Sparidae,Sparus,Sparus aurata,Spariformes
Cluster 68,XP_030271236,816,Sparus aurata,NA,Metazoa,Chordata,Actinopteri,Sparidae,Sparus,Sparus aurata,Spariformes
Cluster 68,ENSSAUP00010041250_S,807,Sparus aurata,NA,Metazoa,Chordata,Actinopteri,Sparidae,Sparus,Sparus aurata,Spariformes
Cluster 68,XP_030271236,816,Sparus aurata,NA,Metazoa,Chordata,Actinopteri,Sparidae,Sparus,Sparus aurata,Spariformes
Cluster 69,XP_015273067,816,Gekko japonicus,NA,Metazoa,Chordata,Lepidosauria,Gekkonidae,Gekko,Gekko japonicus,Squamata
Cluster 69,XP_015273067,816,Gekko japonicus,NA,Metazoa,Chordata,Lepidosauria,Gekkonidae,Gekko,Gekko japonicus,Squamata
Cluster 69,XP_015273067,816,Gekko japonicus,NA,Metazoa,Chordata,Lepidosauria,Gekkonidae,Gekko,Gekko japonicus,Squamata
Cluster 70,XP_029459086,815,Rhinatrema bivittatum,NA,Metazoa,Chordata,Amphibia,Rhinatrematidae,Rhinatrema,Rhinatrema bivittatum,Gymnophiona
Cluster 70,XP_029459086,815,Rhinatrema bivittatum,NA,Metazoa,Chordata,Amphibia,Rhinatrematidae,Rhinatrema,Rhinatrema bivittatum,Gymnophiona
Cluster 70,XP_029459086,815,Rhinatrema bivittatum,NA,Metazoa,Chordata,Amphibia,Rhinatrematidae,Rhinatrema,Rhinatrema bivittatum,Gymnophiona
Cluster 71,XP_031702716,815,Anarrhichthys ocellatus,northern wolffish,Metazoa,Chordata,Actinopteri,Anarhichadidae,Anarrhichthys,northern wolffish,Perciformes
Cluster 71,XP_031702716,815,Anarrhichthys ocellatus,northern wolffish,Metazoa,Chordata,Actinopteri,Anarhichadidae,Anarrhichthys,northern wolffish,Perciformes
Cluster 71,XP_031702716,815,Anarrhichthys ocellatus,northern wolffish,Metazoa,Chordata,Actinopteri,Anarhichadidae,Anarrhichthys,northern wolffish,Perciformes
Cluster 72,XP_029459087,815,Rhinatrema bivittatum,NA,Metazoa,Chordata,Amphibia,Rhinatrematidae,Rhinatrema,Rhinatrema bivittatum,Gymnophiona
Cluster 73,ENSCHAP00000050679_C,815,Clupea harengus,Baltic herring,Metazoa,Chordata,Actinopteri,Clupeidae,Clupea,Baltic herring,Clupeiformes
Cluster 74,XP_023774184,814,Cyanistes caeruleus,Blue Tit,Metazoa,Chordata,Aves,Paridae,Cyanistes,Blue Tit,Passeriformes
Cluster 74,XP_023774184,814,Cyanistes caeruleus,Blue Tit,Metazoa,Chordata,Aves,Paridae,Cyanistes,Blue Tit,Passeriformes
Cluster 74,ENSCCEP00000006410_C,814,Cyanistes caeruleus,Blue Tit,Metazoa,Chordata,Aves,Paridae,Cyanistes,Blue Tit,Passeriformes
Cluster 74,XP_023774184,814,Cyanistes caeruleus,Blue Tit,Metazoa,Chordata,Aves,Paridae,Cyanistes,Blue Tit,Passeriformes
Cluster 75,XP_015486815,814,Parus major,Great Tit,Metazoa,Chordata,Aves,Paridae,Parus,Great Tit,Passeriformes
Cluster 75,XP_015486815,814,Parus major,Great Tit,Metazoa,Chordata,Aves,Paridae,Parus,Great Tit,Passeriformes
